status,canonical_name,display_name,raw_names,months,visits,naver_title,category,address,road_address,lat,lng,candidate_count,region_ok,category_ok,query,note
pending,까망염소,까망염소,까망염소,2026-07,7,까망염소,"한식>육류,고기요리",충청북도 청주시 흥덕구 지동동 692-1,충청북도 청주시 흥덕구 고락로40번길 19,36.6429826,127.4010072,2,yes,yes,청주 까망염소,region=청주; other candidates: 채순자의 까망염소 복대점직영
pending,신토불이교원대점,신토불이교원대점,신토불이교원대점 | 신토불이 교원대점,2026-07,6,신토불이 교원대점,한식>오리요리,충청북도 청주시 흥덕구 강내면 탑연리 317-10 신토불이 교원대점,충청북도 청주시 흥덕구 강내면 태성탑연로 399 신토불이 교원대점,36.6188431,127.3564631,1,yes,yes,청주 신토불이교원대점,region=청주
pending,고메스퀘어,고메스퀘어,고메스퀘어,2026-07,4,고메스퀘어 청주점,"음식점>일식,초밥뷔페","충청북도 청주시 청원구 율량동 2026 3층 302호, 303호","충청북도 청주시 청원구 율량로190번길 53 3층 302호, 303호",36.6655986,127.4958156,3,yes,yes,청주 고메스퀘어,"region=청주; other candidates: 고메스퀘어 오송점, 고메스퀘어 오창점"
pending,아람옻닭,아람옻닭,아람옻닭,2026-07,4,아람옻닭 오송점,"한식>백숙,삼계탕",충청북도 청주시 흥덕구 오송읍 오송리 71-1 1층,충청북도 청주시 흥덕구 오송읍 오송4길 15 1층,36.6126112,127.3276882,2,yes,yes,청주 아람옻닭,region=청주; other candidates: 아람백숙
pending,만리장성,만리장성,만리장성,2026-07,3,만리장성,중식>중식당,충청북도 청주시 흥덕구 강내면 탑연리 339 1층,충청북도 청주시 흥덕구 강내면 태성탑연로 386 1층,36.6172677,127.3559406,2,yes,yes,청주 만리장성,region=청주; other candidates: 만리장성
pending,오송한우명가,오송한우명가,오송한우명가,2026-07,3,오송한우명가,한식>소고기구이,충청북도 청주시 흥덕구 오송읍 만수리 545,충청북도 청주시 흥덕구 오송읍 오송가락로 255-12,36.6296085,127.3321065,1,yes,yes,청주 오송한우명가,region=청주
pending,우보설렁탕,우보설렁탕,우보설렁탕,2026-07,3,세종설렁탕,"한식>곰탕,설렁탕",세종특별자치시 조치원읍 원리 11-6 조치원2길10,세종특별자치시 조치원읍 조치원2길 10 조치원2길10,36.600789,127.297456,2,yes,yes,세종 우보설렁탕,region=세종; other candidates: 우보설렁탕 본점
pending,카페공감3,카페공감3,카페공감3,2026-07,3,공감카페 3호점,"음식점>카페,디저트",충청북도 청주시 흥덕구 강내면 다락리 산7,충청북도 청주시 흥덕구 강내면 태성탑연로 250,36.6109883,127.3588709,2,yes,yes,청주 카페공감3,region=청주; other candidates: 공감사주. 타로
pending,카페까망,까페까망,까페까망 | 카페까망,2026-07,3,카페까망,"카페,디저트>카페",충청북도 청주시 흥덕구 지동동 675-4,충청북도 청주시 흥덕구 고락로40번길 25,36.6430688,127.4002169,4,yes,yes,청주 카페까망,"region=청주; other candidates: 카페까망2주차장, 카페까망입구, 카페까망3주차장"
pending,커피빈코리아도심공항타워점,(주)커피빈코리아 도심공항타워점,(주)커피빈코리아 도심공항타워점,2026-07,3,커피빈 도심공항타워점,"카페,디저트>카페",서울특별시 강남구 삼성동 159,서울특별시 강남구 테헤란로87길 36,37.5104265,127.0584558,1,no,yes,커피빈코리아도심공항타워점,outside 청주/세종/공주/대전
pending,컬처푸드한국교원대점,컬처푸드 한국교원대점,컬처푸드 한국교원대점,2026-07,3,,,,,,,0,,,컬처푸드한국교원대점,no geocoding hit
pending,평리작은커피,평리작은커피,평리작은커피,2026-07,3,평리작은커피,"카페,디저트>카페",세종특별자치시 조치원읍 평리 23-28 1층,세종특별자치시 조치원읍 문화로 16-1 1층,36.6030038,127.3010767,1,yes,yes,세종 평리작은커피,region=세종
pending,36.5공감,36.5공감,36.5공감,2026-07,2,36.5공감,"음식점>카페,디저트",충청북도 청주시 흥덕구 강내면 탑연리 338-2,충청북도 청주시 흥덕구 강내면 태성탑연로 390,36.6177543,127.3561614,1,yes,yes,청주 36.5공감,region=청주
pending,THEHYUNDAI무역센터점,THE HYUNDAI 무역센터점,THE HYUNDAI 무역센터점,2026-07,2,더이탈리안클럽 현대백화점무역센터점,음식점>이탈리아음식,서울특별시 강남구 삼성동 159-7 현대백화점 10층,서울특별시 강남구 테헤란로 517 현대백화점 10층,37.5084703,127.0596359,1,no,yes,THEHYUNDAI무역센터점,outside 청주/세종/공주/대전
pending,링코제일-코엑스점,(주)링코제일-코엑스점,(주)링코제일-코엑스점,2026-07,2,,,,,,,0,,,링코제일-코엑스점,no geocoding hit
